co_cid,no_agravo,nu_prazo_encerramento
O00,GRAVIDEZ ECTOPICA,0
O05,OUTROS TIPOS DE ABORTO,0
O44,PLACENTA PREVIA,0
S41.0,FERIMENTO DO OMBRO,0
S67,LESAO POR ESMAGAMENTO DO PUNHO E DA MAO,0
S92.5,FRATURA DE OUTRO ARTELHO,0
V41,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL,0
V47,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO,0
V67,OCUPANTE DE UM VEICULO DE TRANSPORTE PESADO TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO,0
V70,OCUPANTE DE UM ONIBUS TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL,0
W08,QUEDA DE OUTRO TIPO DE MOBILIA,0
W15,QUEDA DE PENHASCO,0
W26.7,"CONTATO COM FACA,ESPADA E PUNHAL - FAZENDA",0
W30.8,CONTATO COM MAQUINARIA AGRICOLA - OUTROS LOCAIS ESPECIFICADOS,0
W86,EXPOSICAO A OUTRA CORRENTE ELETRICA ESPECIFICADA,0
W88.7,EXPOSICAO A RADIACAO IONIZANTE - FAZENDA,0
X11,CONTATO COM AGUA CORRENTE QUENTE DE TORNEIRA,0
X54,FALTA DE AGUA,0
X71,LESAO AUTOPROVOCADA INTENCIONALMENTE POR AFOGAMENTO E SUBMERSAO,0
X91,"AGRESSAO POR MEIO DE ENFORCAMENTO,ESTRANGULAMENTO E SUFOCACAO",0
Y05,AGRESSAO SEXUAL POR MEIO DE FORCA FISICA,0
Y21.4,"AFOGAMENTO E SUBMERSAO,INTENCAO NAO DETERMINADA - RUA E ESTRADA",0
Y32,"IMPACTO DE UM VEICULO A MOTOR,INTENCAO NAO DETERMINADA",0
Y66,NAO ADMINISTRACAO DE CUIDADO MEDICO E CIRURGICO,0
Y89.0,SEQUELAS DE INTERVENCAO LEGAL,0
Z58.3,EXPOSICAO A POLUICAO DO SOLO,0
Z64,PROBLEMAS RELACIONADOS COM ALGUMAS OUTRAS CIRCUNTANCIAS PSICOSSOCIAIS,0
Z74.3,NECESSIDADE DE SUPERVISAO CONTINUA,0
Z90.5,AUSENCIA ADQUIRIDA DO RIM,0
A40.8,OUTRAS SEPTICEMIAS ESTREPTOCOCICAS,0
A66,BOUBA,0
B42.1,ESPOROTRICOSE LINFOCUTANEA,0
E06.4,TIREOIDITE INDUZIDA POR DROGA,0
F09,TRANSTORNO MENTAL ORGANICO OU SINTOMATICO NAO ESPECIFICADO,0
F63.2,ROUBO PATOLOGICO [CLEPTOMANIA],0
F80,TRANSTORNOS ESPECIFICOS DO DESENVOLVIMENTO DA FALA E DA LINGUAGEM,0
G54,TRANSTORNOS DAS RAIZES E DOS PLEXOS NERVOSOS,0
I02.9,COREIA REUMATICA SEM COMPROMETIMENTO CARDIACO,0
I67,OUTRAS DOENCAS CEREBROVASCULARES,0
J95.4,SINDROME DE MENDELSON,0
K14.2,GLOSSITE ROMBOIDE MEDIANA,0
K62.3,PROLAPSO RETAL,0
M53.0,SINDROME CERVICOCRANIANA,0
N13.5,TORCAO E ESTREITAMENTO DO URETER SEM HIDRONEFROSE,0
T65.0,CIANETOS,0
T88.2,CHOQUE DEVIDO A ANESTESIA,0
V29.8,MOTOCICLISTA [QUALQUER] TRAUMATIZADO EM OUTROS ACIDENTES DE TRANSPORTE ESPECIFICADOS,0
V37,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO,0
W00.0,QUEDA NO MESMO NIVEL ENVOLVENDO GELO E NEVE - RESIDENCIA,0
W12,QUEDA EM OU DE UM ANDAIME,0
W53.4,MORDEDURA DE RATO - RUA E ESTRADA,0
X33,VITIMA DE RAIO,0
X75,LESAO AUTOPROVOCADA INTENCIONALMENTE POR DISPOSITIVOS EXPLOSIVOS,0
X78,LESAO AUTOPROVOCADA INTENCIONALMENTE POR OBJETO CORTANTE OU PENETRANTE,0
X95,AGRESSAO POR MEIO DE DISPARO DE OUTRA ARMA DE FOGO OU DE ARMA NAO ESPECIFICADA,0
Y04.0,AGRESSAO POR MEIO DE FORCA CORPORAL - RESIDENCIA,0
Y73,"DISPOSITIVOS (APARELHOS) USADOS EM GASTROENTEROLOGIA E EM UROLOGIA,ASSOCIADOS A INCIDENTES ADVERSOS",0
Y84.1,HEMODIALISE,0
Z73.0,ESGOTAMENTO,0
A39,INFECCAO MENINGOGOCICA,0
A54,INFECCAO GONOCOCICA,0
A75,TIFO EXANTEMATICO,0
B16,HEPATITE AGUDA B,0
B33.0,MIALGIA EPIDEMICA,0
C00.6,COMISSURA LABIAL,0
D76.3,OUTRAS SINDROMES HISTIOCITICAS,0
E06,TIREOIDITE,0
E25.8,OUTROS TRANSTORNOS ADRENOGENITAIS,0
F06.2,TRANSTORNO DELIRANTE ORGANICO [TIPO ESQUIZOFRENICO],0
F44.1,FUGA DISSOCIATIVA,0
F63,TRANSTORNOS DOS HABITOS E DOS IMPULSOS,0
F84.0,AUTISMO INFANTIL,0
F98.3,PICA DO LACTENTE OU DA CRIANCA,0
G40.8,OUTRAS EPILEPSIAS,0
I61,HEMORRAGIA INTRACEREBRAL,0
J01.3,SINUSITE ESFENOIDAL AGUDA,0
J45,ASMA,0
M07.5,ARTROPATIA NA COLITE ULCERATIVA (K51.-+),0
N64,OUTRAS DOENCAS DA MAMA,0
N85.7,HEMATOMETRA,0
O02.0,OVO CLARO E MOLA NAO-HIDATIFORME,0
O44.1,PLACENTA PREVIA COM HEMORRAGIA,0
O70,LACERACAO DO PERINEO DURANTE O PARTO,0
O80,PARTO UNICO ESPONTANEO,0
S32.1,FRATURA DO SACRO,0
V39.3,OCUPANTE [QUALQUER] DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM UM ACIDENTE NAO ESPECIFICADO E NAO-DE-TRANSITO,0
V70.6,OCUPANTE DE UM ONIBUS TRAUMATIZADO EM COLISAO COM UM PEDESTRE OU UM ANIMAL - PASSAGEIRO TRAUMATIZADO EM UM ACIDENTE DE TRANSITO,0
V76,OCUPANTE DE UM ONIBUS TRAUMATIZADO EM COLISAO COM OUTRO VEICULO NAO-MOTORIZADO,0
W06,QUEDA DE UM LEITO,0
W11,QUEDA EM OU DE ESCADAS DE MAO,0
W14,QUEDA DE ARVORE,0
W19.3,QUEDA SEM ESPECIFICACAO - AREA PARA A PRATICA DE ESPORTES E ATLETISMO,0
W73,OUTROS AFOGAMENTOS E SUBMERSAO ESPECIFICADOS,0
W83.1,OUTROS RISCOS ESPECIFICADOS A RESPIRACAO - HABITACAO COLETIVA,0
W94,"EXPOSICAO A ALTA,BAIXA E A VARIACOES DA PRESSAO ATMOSFERICA",0
X38.7,VITIMA DE INUNDACAO - FAZENDA,0
X38.8,VITIMA DE INUNDACAO - OUTROS LOCAIS ESPECIFICADOS,0
X51,VIAGEM E MOVIMENTO,0
X57.3,PRIVACAO NAO ESPECIFICADA - AREA PARA A PRATICA DE ESPORTES E ATLETISMO,0
X69.3,"AUTO-INTOXICACAO POR E EXPOSICAO,INTENCIONAL,A OUTROS PRODUTOS QUIMICOS E SUBSTANCIAS NOCIVAS NAO ESPECIFICADAS - AREA PARA A PRATICA DE ESPORTES E ATLETISMO",0
Y00.4,AGRESSAO POR MEIO DE UM OBJETO CONTUNDENTE - RUA E ESTRADA,0
Y05.4,AGRESSAO SEXUAL POR MEIO DE FORCA FISICA - RUA E ESTRADA,0
Z10.0,EXAME DE SAUDE OCUPACIONAL,0
Z32,EXAME OU TESTE DE GRAVIDEZ,0
Z81.0,HISTORIA FAMILIAR DE RETARDO MENTAL,0
A25.0,ESPIRILOSE,0
B37,CANDIDIASE,0
C91.3,LEUCEMIA PRO-LINFOCITICA,0
D28.1,VAGINA,0
E15,COMA HIPOGLICEMICO NAO-DIABETICO,0
E78.1,HIPERGLICERIDEMIA PURA,0
F20,ESQUIZOFRENIA,0
F95,TIQUES,0
H15.0,ESCLERITE,0
H27.0,AFACIA,0
I20.0,ANGINA INSTAVEL,0
I84.9,"HEMORROIDAS SEM COMPLICACOES,NAO ESPECIFICADAS",0
L81.5,LEUCODERMIA NAO CLASSIFICADA EM OUTRA PARTE,0
M11.2,OUTRAS CONDROCALCINOSES,0
M54,DORSALGIA,0
M76.1,TENDINITE DO PSOAS,0
M95.0,DEFORMIDADE ADQUIRIDA DO NARIZ,0
O04,ABORTO POR RAZOES MEDICAS E LEGAIS,0
O40,POLIHIDRAMNIO,0
O63,TRABALHO DE PARTO PROLONGADO,0
O82.2,PARTO POR CESARIANA PARA HISTERECTOMIA,0
S33.1,LUXACAO DA VERTEBRA LOMBAR,0
S92.2,FRATURA DE OUTROS OSSOS DO TARSO,0
T71,ASFIXIA,0
V21.0,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL - CONDUTOR TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V27,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO,0
V31,OCUPANTE DE UM TRICICLO MOTORIZADO TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL,0
V46,OCUPANTE DE UM AUTOMOVEL [CARRO] TRAUMATIZADO EM COLISAO COM OUTRO VEICULO NAO-MOTORIZADO,0
V53,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO] OU UMA CAMINHONETA,0
V56,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM OUTRO VEICULO NAO-MOTORIZADO,0
W05,QUEDA ENVOLVENDO UMA CADEIRA DE RODAS,0
W18.4,OUTRAS QUEDAS NO MESMO NIVEL - RUA E ESTRADA,0
W23.4,"APERTADO,COLHIDO,COMPRIMIDO OU ESMAGADO DENTRO DE OU ENTRE OBJETOS - RUA E ESTRADA",0
W35,EXPLOSAO OU RUPTURA DE CALDEIRA,0
W65,AFOGAMENTO E SUBMERSAO DURANTE BANHO EM BANHEIRA,0
W83,OUTROS RISCOS ESPECIFICADOS A RESPIRACAO,0
X01,EXPOSICAO A FOGO NAO-CONTROLADO FORA DE UM EDIFICIO OU DE OUTRO TIPO DE CONSTRUCAO,0
X31.4,EXPOSICAO A FRIO NATURAL EXCESSIVO - RUA E ESTRADA,0
X36.8,"VITIMA DE AVALANCHE,DESABAMENTO DE TERRA E OUTROS MOVIMENTOS DA SUPERFICIE TERRESTRE - OUTROS LOCAIS ESPECIFICADOS",0
X50,EXCESSO DE EXERCICIOS E MOVIMENTOS VIGOROSOS OU REPETITIVOS,0
X53,FALTA DE ALIMENTO,0
Y04,AGRESSAO POR MEIO DE FORCA CORPORAL,0
Y75,"DISPOSITIVOS (APARELHOS) UTILIZADOS EM NEUROLOGIA,ASSOCIADOS A INCIDENTES ADVERSOS",0
Z39.2,SEGUIMENTO POS-PARTO DE ROTINA,0
Z76,PESSOAS EM CONTATO COM OS SERVICOS DE SAUDE EM OUTRAS CIRCUNSTANCIAS,0
C83,LINFOMA NAO-HODGKIN DIFUSO,0
D28.0,VULVA,0
G43,ENXAQUECA,0
H50,OUTROS ESTRABISMOS,0
H80,OTOSCLEROSE,0
K09.0,CISTOS ODONTOGENICOS DE DESENVOLVIMENTO,0
K63.2,FISTULA DO INTESTINO,0
K81,COLECISTITE,0
L05,CISTO PILONIDAL,0
M10,GOTA,0
T68,HIPOTERMIA,0
V27.1,MOTOCICLISTA TRAUMATIZADO EM COLISAO COM UM OBJETO FIXO OU PARADO - PASSAGEIRO TRAUMATIZADO EM ACIDENTE NAO-DE-TRANSITO,0
V55,OCUPANTE DE UMA CAMINHONETE TRAUMATIZADO EM COLISAO COM UM TREM [COMBOIO] OU VEICULO FERROVIARIO,0
V63,OCUPANTE DE UM VEICULO DE TRANSPORTE PESADO TRAUMATIZADO EM COLISAO COM UM AUTOMOVEL [CARRO] OU UMA CAMINHONETE,0
V71,OCUPANTE DE UM ONIBUS TRAUMATIZADO EM COLISAO COM UM VEICULO A PEDAL,0
V82.4,PESSOA TRAUMATIZADA AO SUBIR OU DESCER DE UM BONDE [CARRO ELETRICO],0
W17.9,OUTRAS QUEDAS DE UM NIVEL A OUTRO - LOCAL NAO ESPECIFICADO,0
W51,COLISAO ENTRE DUAS PESSOAS,0
W56,CONTATO COM ANIMAIS MARINHOS,0
X18,CONTATO COM OUTROS METAIS QUENTES,0
X59.1,EXPOSICAO A FATORES NAO ESPECIFICADOS - HABITACAO COLETIVA,0
X79,LESAO AUTOPROVOCADA INTENCIONALMENTE POR OBJETO CONTUNDENTE,0
X82,LESAO AUTOPROVOCADA INTENCIONALMENTE POR IMPACTO DE UM VEICULO A MOTOR,0
X96,AGRESSAO POR MEIO DE MATERIAL EXPLOSIVO,0
Y15,"ENVENENAMENTO [INTOXICACAO] POR E EXPOSICAO AO ALCOOL,INTENCAO NAO DETERMINADA",0
Y61.0,DURANTE INTERVENCAO CIRURGICA,0
Z59.5,POBREZA EXTREMA,0
Z94,ORGAOS E TECIDOS TRANSPLANTADOS,0
A00,COLERA,0
A00.0,"COLERA DEVIDA A VIBRIO CHOLERAE 01,BIOTIPO CHOLERAE",0
A00.1,"COLERA DEVIDA A VIBRIO CHOLERAE 01,BIOTIPO EL TOR",0
A01.1,FEBRE PARATIFOIDE A,0
A01.2,FEBRE PARATIFOIDE B,0
A01.3,FEBRE PARATIFOIDE C,0
A01.4,FEBRE PARATIFOIDE NAO ESPECIFICADA,0
A02,OUTRAS INFECCOES POR SALMONELLA,0
A02.0,ENTERITE POR SALMONELA,0
A02.1,SEPTICEMIA POR SALMONELA,0
A02.2,INFECCOES LOCALIZADAS POR SALMONELA,0
A02.8,OUTRAS INFECCOES ESPECIFICADAS POR SALMONELA,0
A02.9,INFECCAO NAO ESPECIFICADA POR SALMONELA,0
A03,SHIGUELOSE,0
A03.0,SHIGUELOSE DEVIDA A SHIGELLA DYSENTERIAE,0
A03.1,SHIGUELOSE DEVIDA A SHIGELLA FLEXNERI,0
A03.2,SHIGUELOSE DEVIDA A SHIGELLA BOYDII,0
A03.3,SHIGUELOSE DEVIDA A SHIGELLA SONNEI,0
A03.8,OUTRAS SHIGUELOSES,0
A03.9,SHIGUELOSE NAO ESPECIFICADA,0
A04,OUTRAS INFECCOES INTESTINAIS BACTERIANAS,0
A04.0,INFECCAO POR ESCHERICHIA COLI ENTEROPATOGENICA,0
A04.1,INFECCAO POR ESCHERICHIA COLI ENTEROTOXIGENICA,0
A04.2,INFECCAO POR ESCHERICHIA COLI ENTEROINVASIVA,0
A04.4,OUTRAS INFECCOES INTESTINAIS POR ESCHERICHIA COLI,0
A04.5,ENTERITE POR CAMPYLOBACTER,0
A04.6,ENTERITE DEVIDA A YERSINIA ENTEROCOLITICA,0
A04.7,ENTEROCOLITE DEVIDA A CLOSTRIDIUM DIFFICILE,0
A04.8,OUTRAS INFECCOES BACTERIANAS INTESTINAIS ESPECIFICADAS,0
A04.9,INFECCAO INTESTINAL BACTERIANA NAO ESPECIFICADA,0
A05,OUTRAS INTOXICACOES ALIMENTARES BACTERIANAS,0
A05.0,INTOXICACAO ALIMENTAR ESTAFILOCOCICA,0
A05.2,INTOXICACAO ALIMENTAR DEVIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII],0
A05.3,INTOXICACAO ALIMENTAR DEVIDA A VIBRIO PARAHEMOLYTICUS,0
A05.4,INTOXICACAO ALIMENTAR DEVIDA A BACILLUS CEREUS,0
A05.8,OUTRAS INTOXICACOES ALIMENTARES BACTERIANAS ESPECIFICADAS,0
A06,AMEBIASE,0
A06.0,DISENTERIA AMEBIANA AGUDA,0
A06.1,AMEBIASE INTESTINAL CRONICA,0
A06.2,COLITE AMEBIANA NAO-DISENTERICA,0
A06.3,AMEBOMA INTESTINAL,0
A06.4,ABSCESSO AMEBIANO DO FIGADO,0
A06.5,ABSCESSO AMEBIANO DO PULMAO (J99.8*),0
A06.6,ABSCESSO AMEBIANO DO CEREBRO (G07*),0
A06.7,AMEBIASE CUTANEA,0
A06.8,INFECCAO AMEBIANA DE OUTRAS LOCALIZACOES,0
A06.9,AMEBIASE NAO ESPECIFICADA,0
A07,OUTRAS DOENCAS INTESTINAIS POR PROTOZOARIOS,0
A07.0,BALANTIDIASE,0
A07.1,GIARDIASE [LAMBLIASE],0
A07.2,CRIPTOSPORIDIOSE,0
A07.3,ISOSPORIASE,0
A07.9,DOENCA INTESTINAL NAO ESPECIFICADA POR PROTOZOARIOS,0
A08.1,GASTROENTEROPATIA AGUDA PELO AGENTE DE NORWALK,0
A08.3,OUTRAS ENTERITES VIRAIS,0
A08.4,INFECCAO INTESTINAL DEVIDA A VIRUS NAO ESPECIFICADO,0
A08.5,OUTRAS INFECCOES INTESTINAIS ESPECIFICADAS,0
A09,DIARREIA E GASTROENTERITE DE ORIGEM INFECCIOSA PRESUMIVEL,0
A15,"TUBERCULOSE RESPIRATORIA,COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA",0
A15.1,"TUBERCULOSE PULMONAR,COM CONFIRMACAO SOMENTE POR CULTURA",0
A15.2,"TUBERCULOSE PULMONAR,COM CONFIRMACAO HISTOLOGICA",0
A15.3,"TUBERCULOSE PULMONAR,COM CONFIRMACAO POR MEIO NAO ESPECIFICADO",0
A15.4,"TUBERCULOSE DOS GANGLIOS INTRATORACICOS,COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA",0
A15.5,"TUBERCULOSE DA LARINGE,DA TRAQUEIA E DOS BRONQUIOS,COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA",0
A15.6,"PLEURIS TUBERCULOSO,COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA",0
A15.7,"TUBERCULOSE PRIMARIA DAS VIAS RESPIRATORIAS,COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA",0
A15.8,"OUTRAS FORMAS DE TUBERCULOSE DAS VIAS RESPIRATORIAS,COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA",0
A15.9,"TUBERCULOSE NAO ESPECIFICADA DAS VIAS RESPIRATORIAS,COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA",0
A16,"TUBERCULOSE DAS VIAS RESPIRATORIAS,SEM CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA",0
A31.0,INFECCAO PULMONAR MICOBACTERIANA,0
A16.0,TUBERCULOSE PULMONAR COM EXAMES BACTERIOLOGICO E HISTOLOGICO NEGATIVOS,0
A16.1,"TUBERCULOSE PULMONAR,SEM REALIZACAO DE EXAME BACTERIOLOGICO OU HISTOLOGICO",0
A16.2,"TUBERCULOSE PULMONAR,SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA",0
A16.3,"TUBERCULOSE DOS GANGLIOS INTRATORACICOS,SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA",0
A16.4,"TUBERCULOSE DA LARINGE,DA TRAQUEIA E DOS BRONQUIOS,SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA",0
A16.5,"PLEURISIA TUBERCULOSA,SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA",0
A16.7,TUBERCULOSA RESPIRATORIA PRIMARIA SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA,0
A16.8,"OUTRAS FORMAS DE TUBERCULOSE DAS VIAS RESPIRATORIAS,SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA",0
A17,TUBERCULOSE DO SISTEMA NERVOSO,0
A17.0,MENINGITE TUBERCULOSA (G01*),0
A17.1,TUBERCULOMA MENINGEO (G07*),0
A17.8,OUTRAS TUBERCULOSES DO SISTEMA NERVOSO,0
A17.9,TUBERCULOSE NAO ESPECIFICADA DO SISTEMA NERVOSO (G99.8*),0
A18,TUBERCULOSE DE OUTROS ORGAOS,0
A18.0,TUBERCULOSE OSSEA E DAS ARTICULACOES,0
A18.1,TUBERCULOSE DO APARELHO GENITURINARIO,0
A18.2,LINFADENOPATIA TUBERCULOSA PERIFERICA,0
A18.3,"TUBERCULOSE DO INTESTINO,DO PERITONIO E DOS GANGLIOS MESENTERICOS",0
A18.4,TUBERCULOSE DE PELE E DO TECIDO CELULAR SUBCUTANEO,0
A18.5,TUBERCULOSE DO OLHO,0
A18.6,TUBERCULOSE DO OUVIDO,0
A18.7,TUBERCULOSE DAS SUPRA-RENAIS (E35.1*),0
A18.8,TUBERCULOSE DE OUTROS ORGAOS ESPECIFICADOS,0
A19,TUBERCULOSE MILIAR,0
A19.0,TUBERCULOSE MILIAR AGUDA DE LOCALIZACAO UNICA E ESPECIFICADA,0
A19.1,TUBERCULOSE MILIAR AGUDA DE MULTIPLAS LOCALIZACOES,0
A19.2,TUBERCULOSE MILIAR AGUDA NAO ESPECIFICADA,0
A19.8,OUTRAS TUBERCULOSES MILIARES,0
A19.9,TUBERCULOSE MILIAR NAO ESPECIFICADA,0
A20.0,PESTE BUBONICA,0
A20.1,PESTE CELULOCUTANEA,0
A20.2,PESTE PNEUMONICA,0
A20.3,PESTE MENINGEA,0
A20.7,PESTE SEPTICEMICA,0
A20.8,OUTRAS FORMAS DE PESTE,0
A21,TULAREMIA,0
A21.0,TULAREMIA ULCEROGLANDULAR,0
A21.1,TULAREMIA OCULOGLANDULAR,0
A21.2,TULAREMIA PULMONAR,0
A21.3,TULAREMIA GASTROINTESTINAL,0
A21.7,TULAREMIA GENERALIZADA,0
A21.8,OUTRAS FORMAS DE TULAREMIA,0
A22,CARBUNCULO,0
A22.0,CARBUNCULO CUTANEO,0
A22.1,CARBUNCULO PULMONAR,0
A22.2,CARBUNCULO GASTROINTESTINAL,0
A22.7,SEPTICEMIA CARBUNCULOSA,0
A22.8,OUTRAS FORMAS DE CARBUNCULO,0
A23.0,BRUCELOSE POR BRUCELLA MELITENSIS,0
A23.1,BRUCELOSE POR BRUCELLA ABORTUS,0
A23.2,BRUCELOSE POR BRUCELLA SUIS,0
A23.3,BRUCELOSE POR BRUCELLA CANIS,0
A23.8,OUTRAS BRUCELOSES,0
A23.9,BRUCELOSE NAO ESPECIFICADA,0
A24,MORMO E MELIOIDOSE,0
A24.1,MELIOIDOSE AGUDA E FULMINANTE,0
A24.2,MELIOIDOSE SUBAGUDA E CRONICA,0
A24.3,OUTRAS MELIOIDOSES,0
A24.4,MELIOIDOSE NAO ESPECIFICADA,0
A24.0,MORMO,60
A25.1,ESTREPTOBACILOSE,0
A26,ERISIPELOIDE,0
A26.0,ERISIPELOIDE CUTANEO,0
